Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 257500  Y 550000
X 246400  Y 546700
X 252000  Y 529000
X 241500  Y 493500
X 238500  Y 489500
X 241500  Y 484000
X 238500  Y 480000
X 249500  Y 462000
X 238500  Y 458000
X 250500  Y 452500
X 238500  Y 448500
X 243900  Y 443200
X 238900  Y 439100
X 242500  Y 433500
X 242000  Y 426500
X 250500  Y 424500
X 238500  Y 420000
X 247000  Y 415000
X 249600  Y 414500
X 238500  Y 410500
X 258000  Y 408500
X 250500  Y 405500
X 238500  Y 401000
X 240500  Y 353500
X 246210  Y 334000
X 240400  Y 334000
X 246210  Y 316800
X 240580  Y 316800
X 246210  Y 312500
X 240580  Y 312500
X 246210  Y 295300
X 240580  Y 295300
X 256631  Y 240268
X 259800  Y 240100
X 253700  Y 237500
X 251300  Y 235600
X 248900  Y 229500
X 244300  Y 225337
X 255600  Y 223200
X 245000  Y 218500
X 255600  Y 217300
X 245000  Y 214394
X 250200  Y 212000
X 248000  Y 210500
X 256500  Y 206500
X 256500  Y 202200
X 260100  Y 198200
X 255100  Y 195400
X 257400  Y 192700
X 255400  Y 190000
X 253000  Y 188100
X 247600  Y 183400
X 235800  Y 179700
X 246300  Y 177800
X 257400  Y 176000
X 246000  Y 174800
X 246500  Y 171000
X 257500  Y 170000
X 247000  Y 167000
X 252200  Y 163100
X 258200  Y 158800
X 254100  Y 158400
X 242500  Y 139300
X 240000  Y 127000
X 236600  Y 116200
X 272400  Y 134900
X 261200  Y 153400
X 285400  Y 154200
X 261207  Y 158892
X 268100  Y 163100
X 275200  Y 165200
X 274800  Y 168900
X 263400  Y 170000
X 275100  Y 174600
X 263400  Y 176000
X 275400  Y 179500
X 268800  Y 187494
X 264200  Y 197700
X 260700  Y 202200
X 260500  Y 206600
X 265500  Y 207100
X 272800  Y 214900
X 261500  Y 217400
X 273700  Y 217900
X 284400  Y 220300
X 261500  Y 223200
X 274400  Y 224000
X 272400  Y 227600
X 267100  Y 235000
X 264200  Y 235600
X 261768  Y 237600
X 268730  Y 295300
X 263100  Y 295300
X 274360  Y 295300
X 274360  Y 312500
X 263100  Y 312500
X 268730  Y 312500
X 274360  Y 316800
X 268730  Y 316800
X 263100  Y 318000
X 263100  Y 334000
X 274360  Y 334000
X 268730  Y 334000
X 282300  Y 339900
X 270100  Y 376500
X 284600  Y 395000
X 262500  Y 399000
X 279000  Y 405000
X 279000  Y 414500
X 262500  Y 436500
X 275500  Y 443000
X 279000  Y 443000
X 279000  Y 452500
X 281500  Y 462700
X 278500  Y 462700
X 272300  Y 470500
X 284300  Y 473200
X 262500  Y 477500
X 275500  Y 484000
X 279500  Y 484000
X 279500  Y 493500
X 275000  Y 566000
X 265400  Y 601500
X 275700  Y 613100
X 261400  Y 613200
X 303400  Y 587400
X 301600  Y 524200
X 301000  Y 512500
X 285500  Y 505000
X 298000  Y 500500
X 314500  Y 495600
X 314500  Y 489500
X 314500  Y 486100
X 314500  Y 480000
X 314500  Y 476600
X 314500  Y 448500
X 314500  Y 445000
X 314500  Y 439000
X 314500  Y 435500
X 302000  Y 423000
X 314500  Y 417000
X 297000  Y 415000
X 314500  Y 411100
X 314500  Y 408500
